"character name","title","translated name","translated title"
"Cassiopeia","The Only One Who Matters","Cassiopeia","Jediná, na kom záleží"
"Dmi","Dead Inside Employee (You)","Dmi","Tělo bez duše (ty)"
"Rob","Cosmic Fuel Manager","Rob","Manažer Cosmic Fuel"
"Flubber","Cat???","Bublina","Kočka???"
"Calder","Frugal R&B Enthusiast","Calder","Šetřivá fanynka R&B"
"Zerua","Entry-level Clouditech","Zerua","Začínající mrakotechnictvo"
8008,"Arinator Stan",8008,"Fanda Arinator"
"Crust","Apocalyptic Junkie","Skála","Apokalyptický narkoman"
"Romulus","Sharp-Eyed Brother","Romulus","Bystřejší bratr"
"Remus","Dimwitted Brother","Remus","Zaostalejší bratr"
"K'Kili the Destroyer","Ex-Con Turned Housewife","Ničitelka K‘Kili","ex-vězenkyně, žena v domácnosti"
"Aiyana","The Last One Standing","Aiyana","Poslední přeživší"
