character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,Κασσιόπη,Η μοναδική που μετράει
Dmi,Dead Inside Employee (You),Ντμι,Πεθαμένο μέσα μου (Εσύ)
Rob,Cosmic Fuel Manager,Ρομπ,Μάνατζερ του Cosmic Fuel
Flubber,Cat???,Φλάμπερ,Γάτα;;;
Calder,Frugal R&B Enthusiast,Κάλντερ, Φειδωλή Λάτρης της R&B
Zerua,Entry-level Clouditech,Ζέρουα,Νεοσύλλεκτη τεχνικός συννέφων
8008,Arinator Stan,8008,Ταγμένος Arianatorικός
Crust,Apocalyptic Junkie,Κραστ,Μεταποκαλυπτικό πρεζάκι
Romulus,Sharp-Eyed Brother,Ρωμύλος,Ο έξυπνος αδερφός
Remus,Dimwitted Brother,Ρέμος,Ο χαζούλης αδερφός
K'Kili the Destroyer,Ex-Con Turned Housewife,Κ'Κίλι η Καταστροφέας,"Πρώην κατάδικος, νυν νοικοκυρά"
Aiyana,The Last One Standing,Αγιάνα, Η Τελευταία Όλων
