character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,Casiopea,La única que importa
Dmi,Dead Inside Employee (You),Dmi,Empleade apátique (Tú)
Rob,Cosmic Fuel Manager,Rob,Gerente de Impulso Cósmico
Flubber,Cat???,Fluby,Una... ¿gatita?
Calder,Frugal R&B Enthusiast,Candela,Amante austera del R&B
Zerua,Entry-level Clouditech,Zerua,Nimbutécnica principiante
8008,Arinator Stan,7374,Fan de Arinator
Crust,Apocalyptic Junkie,Cortex,Adicto apocalíptico
Romulus,Sharp-Eyed Brother,Rómulo,Hermano observador
Remus,Dimwitted Brother,Remo,Hermano despistado
K'Kili the Destroyer,Ex-Con Turned Housewife,K'kili,Ama de casa expresidiaria
Aiyana,The Last One Standing,Aiyana,Última resistencia
