"location","context","source","target"
"O1","No Sc, msc: SupernovaAlt, no sfx, Next: [O2]","The Solar System. We all know it well. Home to an indescribable number of lifeforms across each planet.","El sistema solar. Lo conocemos muy bien. Es el hogar de una cantidad indescriptible de formas de vida en cada planeta."
"O2","No Sc, msc: SupernovaAlt, no sfx, Next: [O3]","That doesn’t matter much anymore. The Solar System is reaching its end and our Sun is reaching the end of its days. From Mercury to Uranus (Justice for Pluto) people are evacuating to escape the incoming supernova.","Eso ya no importa mucho. El sistema solar está alcanzando su fin, y nuestro Sol está llegando a sus últimos días. Desde Mercurio hasta Urano (justicia para Pluto), las personas evacúan para escapar la supernova que se acerca."
"O3","No Sc, msc: SupernovaAlt, no sfx, Next: [O4]","and I’m clocking in.","Y yo entro al trabajo."
"O4","No Sc, msc: SupernovaAlt, no sfx, Next: [O5a]","It's a slow day. Not that it wasn’t expected or anything. A lot of people have evacuated already, or they just want to spend their money elsewhere besides our dingy gas station. ","Es un día tranquilo. No es que no me lo esperara. Muchas personas ya evacuaron o simplemente quieren gastar su dinero en algo que no sea nuestra deprimente gasolinera."
"O5a","No Sc, msc: SupernovaAlt, sfx: Text_1, Next: [O5b]","-phone chimes-","-suena el celular-"
"O5b","No Sc, msc: SupernovaAlt, sfx: , Next: [T1]","Crap.","Mierda."
"T1","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","Hey, did you finish packing?","Oye, ¿terminaste de empacar?"
"T1-Option-1","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","Yeah. (Lie)","Sí. (Mentira)"
"T1-Option-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","No, I’m at work right now.","No, estoy en el trabajo ahora mismo."
"TDN1-1","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDN1-2]","Yeah. Just handling some things right now.","Sí. Solo estoy con unas cosas ahora mismo."
"TDN1-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDN1-3]","Are you home? I can swing by your place to help.","¿Estás en tu casa? Puedo pasar para ayudarte."
