character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,Cassiopée,La seule personne qui compte
Dmi,Dead Inside Employee (You),Dmi,Employæ à bout
Rob,Cosmic Fuel Manager,Rob,Gérant de Cosmic Fuel
Flubber,Cat???,Flubber,Un... chat ???
Calder,Frugal R&B Enthusiast,Calder,Fan de R&B et de bonnes affaires
Zerua,Entry-level Clouditech,Zerua,Junior en nébulotech
8008,Arinator Stan,8008,Fan inconditionnel d'Arinator
Crust,Apocalyptic Junkie,Crust,Mordu de l'apocalypse
Romulus,Sharp-Eyed Brother,Romulus,Frère à l'œil vif
Remus,Dimwitted Brother,Rémus,Frère long à la détente
K'Kili the Destroyer,Ex-Con Turned Housewife,K'Kili la Destructrice,"Ex-détenue, femme au foyer"
Aiyana,The Last One Standing,Aiyana,L'ultime souffle de son espèce
