character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,Cassiopeia,Hanya Ialah Yang Penting
Dmi,Dead Inside Employee (You),Dmi,Pegawai Mati Rasa (Kamu)
Rob,Cosmic Fuel Manager,Rob,Manager Bensin Kosmik
Flubber,Cat???,Flubber,Kucing???
Calder,Frugal R&B Enthusiast,Calder,Si Hemat Penggemar R&B
Zerua,Entry-level Clouditech,Zerua,Clouditech Pemula
8008,Arinator Stan,8008,Penggemar Arinator
Crust,Apocalyptic Junkie,Crust,Pecandu Kiamat
Romulus,Sharp-Eyed Brother,Romulus,Kakak Bermata Tajam
Remus,Dimwitted Brother,Remus,Adik Lugu
K'Kili the Destroyer,Ex-Con Turned Housewife,K'Kili si Penghancur,Mantan Napi Jadi IRT
Aiyana,The Last One Standing,Aiyana,Yang Terakhir Bertahan
