"location","context","source","target"
"O1","No Sc, msc: SupernovaAlt, no sfx, Next: [O2]","The Solar System. We all know it well. Home to an indescribable number of lifeforms across each planet.","太陽系。誰もがよく知る星々だ。それぞれの惑星に、ことばで表せないくらい多くの生命が暮らしている。"
"O2","No Sc, msc: SupernovaAlt, no sfx, Next: [O3]","That doesn’t matter much anymore. The Solar System is reaching its end and our Sun is reaching the end of its days. From Mercury to Uranus (Justice for Pluto) people are evacuating to escape the incoming supernova.","だけど、それはもう重要じゃない。太陽系はもうすぐ滅亡して、太陽には寿命がくる。スーパーノヴァから逃れるため、今や水星から天王星まで（冥王星だけ仲間外れ）住民みんなが避難しているのだ。"
"O3","No Sc, msc: SupernovaAlt, no sfx, Next: [O4]","and I’m clocking in.","そして、自分は仕事にとりかかる。"
"O4","No Sc, msc: SupernovaAlt, no sfx, Next: [O5a]","It's a slow day. Not that it wasn’t expected or anything. A lot of people have evacuated already, or they just want to spend their money elsewhere besides our dingy gas station. ","今日はヒマな日だ。だけど、予想外ってわけでもない。多くの人はもう避難済みだし、そうでなくたってこんな陰気なガソリンスタンドでお金を使いたい人はいない。 "
"O5a","No Sc, msc: SupernovaAlt, sfx: Text_1, Next: [O5b]","-phone chimes-","[スマホが鳴る]"
"O5b","No Sc, msc: SupernovaAlt, sfx: , Next: [T1]","Crap.","げっ。"
"T1","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","Hey, did you finish packing?","やほ。荷造りは終わってる？"
"T1-Option-1","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","Yeah. (Lie)","うん（ウソだけど）"
"T1-Option-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","No, I’m at work right now.","いや、今は仕事中だよ"
"TDN1-1","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDN1-2]","Yeah. Just handling some things right now.","終わってるよ。今は別のことを片付けてる"
"TDN1-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDN1-3]","Are you home? I can swing by your place to help.","家にいるの？アタシも手伝いにいこうか？"
"TDN1-3","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","No, its fine. I’m at work. The grind doesn’t stop.","いや、大丈夫。仕事中だから。休憩もとれなくてさ"
"TDP1-1","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDP1-2]","I’m on the grind right now. I’ll see about that later.","今は仕事に集中してる。あとで考えるよ"
"TDP1-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDP1-3]","Dmi the SUN is gonna explode!?!?!?!","デゥミ、もうすぐ太陽が爆発するんだよ！？！？！？！"
"TDP1-3","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","Yeah, and my account is gonna overdraft.","わたしの口座だってもうすぐ貸越されるから"
"ROD1-1","Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [D1D-1]","Dmi!","ドゥミ！"
"D1D-1","No Sc, msc: SupernovaAlt, sfx: PhoneHangUp, Next: [DD1-1]","I jump from my seat and slam my phone onto the side of the counter.","わたしは席から飛び上がって、スマホをいきおいよくカウンターの端に置く。"
"DD1-1","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-2]","I wasn’t on my phone!","スマホは見てませんでしたよ！"
"D1D-2","No Sc, msc: SupernovaAlt, sfx: RobHuff2, Next: [ROD1-2]","Rob huffs.","ロブがふんっと息を吐いた。"
"ROD1-2","Sc: Rob, msc: SupernovaAlt, sfx: ROB2, Next: [FOD1-1]","I’m not your mother. I’m heading out, but I’m gonna leave Flubber with you.","ボカァ、キミを見張るママじゃないよ。もう出るけど、プルリリは
置いてくかんね。"
"FOD1-1","No Sc, msc: SupernovaAlt, sfx: FLUBBER1, Next: [DD1-2]","Flubber meows","[プルリリが鳴く]"
"DD1-2","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-3]","Come on, Rob. What am I? A cat-sitter? and on company time?","いや、ロブさん。自分はキャットシッターじゃないんですけど。
しかも勤務中にですか？"
"ROD1-3","Sc: Rob, msc: SupernovaAlt, sfx: ROB3, Next: [DD1-3]","Well, I’ll dock your pay if you don’t!","見ててくれないんなら、キミのお給料減らしちゃうけど！"
"DD1-3","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-4]","Don’t you do that already?","いや、今も減らしてますよね？"
"ROD1-4","Sc: Rob, msc: SupernovaAlt, no sfx, Next: [DD1-4]","...","..."
