"location","context","source","target"
"O1","No Sc, msc: SupernovaAlt, no sfx, Next: [O2]","The Solar System. We all know it well. Home to an indescribable number of lifeforms across each planet.","태양계. 이 곳을 모르는 사람은 없다. 각 행성에는 헤아릴 수도 없을 만큼 다양한 생명이 살고 있다."
"O2","No Sc, msc: SupernovaAlt, no sfx, Next: [O3]","That doesn’t matter much anymore. The Solar System is reaching its end and our Sun is reaching the end of its days. From Mercury to Uranus (Justice for Pluto) people are evacuating to escape the incoming supernova.","이젠 뭐가 됐든 상관없지만. 태양계에는 종말이 다가오고 있고, 태양은 죽어가고 있다. 사람들은 초신성을 피해 수성부터 천왕성까지 전부 대피하고 있다. 물론 명왕성도 포함해서."
"O3","No Sc, msc: SupernovaAlt, no sfx, Next: [O4]","and I’m clocking in.","그리고 나는 출근했다."
"O4","No Sc, msc: SupernovaAlt, no sfx, Next: [O5a]","It's a slow day. Not that it wasn’t expected or anything. A lot of people have evacuated already, or they just want to spend their money elsewhere besides our dingy gas station. ","오늘은 한가하다. 딱히 예상 못 했던 것도 아니다. 대부분은 진작에 대피했을 테니까. 아니면 그냥 이 우중충하기 그지없는 주유소에서 돈 쓰기 싫거나. "
"O5a","No Sc, msc: SupernovaAlt, sfx: Text_1, Next: [O5b]","-phone chimes-","- 휴대폰이 울린다 -"
"O5b","No Sc, msc: SupernovaAlt, sfx: , Next: [T1]","Crap.","젠장."
"T1","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","Hey, did you finish packing?","짐은 다 쌌어?"
"T1-Option-1","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","Yeah. (Lie)","어. (거짓말)"
"T1-Option-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","No, I’m at work right now.","아니, 나 지금 일하는 중이야."
"TDN1-1","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDN1-2]","Yeah. Just handling some things right now.","어. 지금은 뭐 좀 하는 중."
"TDN1-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDN1-3]","Are you home? I can swing by your place to help.","집이야? 잠깐 들러서 도와줄게."
"TDN1-3","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","No, its fine. I’m at work. The grind doesn’t stop.","아냐, 괜찮아. 나 일하는 중이라서. 도통 끝이 안 보이네."
"TDP1-1","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDP1-2]","I’m on the grind right now. I’ll see about that later.","나 지금 일하는 중이라 바빠. 나중에 할게."
"TDP1-2","Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDP1-3]","Dmi the SUN is gonna explode!?!?!?!","아니, 드미. 태양 터진다니까!?!?!?!"
"TDP1-3","Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","Yeah, and my account is gonna overdraft.","그래, 내 통장도 곧 터지지. 마이너스야."
"ROD1-1","Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [D1D-1]","Dmi!","드미!"
"D1D-1","No Sc, msc: SupernovaAlt, sfx: PhoneHangUp, Next: [DD1-1]","I jump from my seat and slam my phone onto the side of the counter.","나는 깜짝 놀라 벌떡 일어나서 카운터 옆에다 휴대폰을 던져 버렸다."
"DD1-1","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-2]","I wasn’t on my phone!","휴대폰 하고 있던 거 아니에요!"
"D1D-2","No Sc, msc: SupernovaAlt, sfx: RobHuff2, Next: [ROD1-2]","Rob huffs.","롭 씨가 씩씩거린다."
"ROD1-2","Sc: Rob, msc: SupernovaAlt, sfx: ROB2, Next: [FOD1-1]","I’m not your mother. I’m heading out, but I’m gonna leave Flubber with you.","내가 네 엄마인 줄 아냐. 난 어디 좀 가 봐야 해서, 우리 플러버 좀 부탁할게."
"FOD1-1","No Sc, msc: SupernovaAlt, sfx: FLUBBER1, Next: [DD1-2]","Flubber meows","플러버가 야옹거린다."
"DD1-2","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-3]","Come on, Rob. What am I? A cat-sitter? and on company time?","저기요, 롭 씨. 절 뭘로 보시는 거예요? 캣시터? 게다가 지금 업무 중인데요?"
"ROD1-3","Sc: Rob, msc: SupernovaAlt, sfx: ROB3, Next: [DD1-3]","Well, I’ll dock your pay if you don’t!","뭐, 싫다면 월급을 깎는 수밖에!"
"DD1-3","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-4]","Don’t you do that already?","언제는 안 그러셨고요?"
"ROD1-4","Sc: Rob, msc: SupernovaAlt, no sfx, Next: [DD1-4]","...","…"
"DD1-4","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-5]","...","…"
"ROD1-5","Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [ROD1-6]","...anyways.","...어쨌든 간에."
"ROD1-6","Sc: Rob, msc: SupernovaAlt, sfx: ROB3, Next: [ROD1-7]","I gotta help my mom pack, and Flubber likes to play in boxes.","난 어머니 짐 챙기시는 거 도우러 가야 해. 플러버는 상자만 있으면 잘 놀 거야."
"ROD1-7","Sc: Rob, msc: SupernovaAlt, sfx: ROB2, Next: [FD1-1]","Besides, she likes you anyway!","게다가, 얘는 널 엄청 좋아한다고!"
"FD1-1","Sc: Flubber, msc: SupernovaAlt, sfx: FLUBBER2, Next: [ROD1-8]","Meow","미야오—"
"ROD1-8","Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [DD1-5]","See?","봤지?"
"DD1-5","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-9]","Fine...","그래요..."
