character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,Kassziopeia,"Az egyetlen, aki számít"
Dmi,Dead Inside Employee (You),Dmi/Demi,Kiégett alkalmazott (Te)
Rob,Cosmic Fuel Manager,Rob,A Kozmokút vezetője
Flubber,Cat???,Szőrcsimbók,Macska???
Calder,Frugal R&B Enthusiast,Kaldion,Takarékos R&B rajongó
Zerua,Entry-level Clouditech,Égiás,Kezdő felhőmérnök
8008,Arinator Stan,8008,Arinátor-megszállott
Crust,Apocalyptic Junkie,Kéreg,Apokalipszis-mániás
Romulus,Sharp-Eyed Brother,Romulus,Az okosabb testvér
Remus,Dimwitted Brother,Remus,A butább testvér
K'Kili the Destroyer,Ex-Con Turned Housewife,"Gy'Gyilok, a pusztító",Bűnözőből lett háziasszony
Aiyana,The Last One Standing,Amarant,Az utolsó
