character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,カシオペア,ただひとりの大事な存在
Dmi,Dead Inside Employee (You),ドゥミ,死んだ目のガソスタ店員（あなた）
Rob,Cosmic Fuel Manager,ロブ,コスミック・エナジーのマネージャー
Flubber,Cat???,プルリリ,猫ちゃん？？？
Calder,Frugal R&B Enthusiast,カルダー,倹約家のR&Bファン
Zerua,Entry-level Clouditech,ゼルア,新人クラウド・アーキテクト
8008,Arinator Stan,8008,アリネーターの熱狂的ファン
Crust,Apocalyptic Junkie,クラスト,終末陰謀論者
Romulus,Sharp-Eyed Brother,ロムルス,シャープな目元の方
Remus,Dimwitted Brother,レムス,マヌケそうな方
K'Kili the Destroyer,Ex-Con Turned Housewife,破壊の女王 ク・キリ,前科持ちの専業主婦
Aiyana,The Last One Standing,アイヤナ,最後の居残り人
