character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,카시오페이아,유일하게 소중한 사람
Dmi,Dead Inside Employee (You),드미,내면이 죽어버린 직원
Rob,Cosmic Fuel Manager,롭,코즈믹 퓨얼 매니저
Flubber,Cat???,플러버,고양이???
Calder,Frugal R&B Enthusiast,칼더,검소한 R&B 열성팬
Zerua,Entry-level Clouditech,제루아,신입 구름 설계사
8008,Arinator Stan,8008,아리네이터 광팬
Crust,Apocalyptic Junkie,크러스트,종말론 중독자
Romulus,Sharp-Eyed Brother,로물루스,눈매가 날카로운 머리
Remus,Dimwitted Brother,레무스,바보처럼 생긴 머리
K'Kili the Destroyer,Ex-Con Turned Housewife,파괴자 킬리,주부가 된 전과자
Aiyana,The Last One Standing,아이야나,최후의 생존자
