character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,Κασσιόπη,Η Μοναδική Που Αξίζει
Dmi,Dead Inside Employee (You),Ντμι,Πεθαμένο Μέσα Μου (Εσύ)
Rob,Cosmic Fuel Manager,Ρομπ,Μάνατζερ του Cosmic Fuel
Flubber,Cat???,Φλάμπερ,Γάτα;;;
Calder,Frugal R&B Enthusiast,Κάλντερ,Τσιγκούνης Λάτρης της R&B
Zerua,Entry-level Clouditech,Ζέρουα,Πρωτάρης Τεχνικός Σύννεφων
8008,Arinator Stan,8008 (as is),Ταγμένο Arianator
Crust,Apocalyptic Junkie,Κραστ,Μεταποκαλυπτικό Πρεζάκι
Romulus,Sharp-Eyed Brother,Ρωμύλος,Ο Πιο Έξυπνος Αδερφός
Remus,Dimwitted Brother,Ρέμος,Ο Χαζούλης Αδερφός
K'Kili the Destroyer,Ex-Con Turned Housewife,Κ'Κίλι η Καταστροφέας,"Πρώην Κατάδοικος, Νυν Νοικοκυρά"
Aiyana,The Last One Standing,Αγιάνα, Η Τελευταία Όλων
