"character name","title","translated name","translated title"
"Cassiopeia","The Only One Who Matters","Cassiopeia","Singura care contează"
"Dmi","Dead Inside Employee (You)","AMD","Angajat mort pe dinăuntru (Tu)"
"Rob","Cosmic Fuel Manager","Rob","Manager la Cosmic Fuel"
"Flubber","Cat???","Pisigel","Pisică???"
"Calder","Frugal R&B Enthusiast","Calder","Pasionată de R&B, cu spirit econom"
"Zerua","Entry-level Clouditech","Zerua","Norhitect entry-level"
8008,"Arinator Stan",8008,"Arinator Stan"
"Crust","Apocalyptic Junkie","Crust","Apocaliptic înrăit"
"Romulus","Sharp-Eyed Brother","Romulus","Fratele ager la minte"
"Remus","Dimwitted Brother","Remus","Fratele greu de cap"
"K'Kili the Destroyer","Ex-Con Turned Housewife","K’Kili distrugătoarea","gospodina cu cazier"
"Aiyana","The Last One Standing","Aiyana","Ultimul rămas"
