character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,แคสซิโอเปีย,คนสำคัญเพียงหนึ่งเดียว
Dmi,Dead Inside Employee (You),ดมิ,พนักงานตายด้าน (คุณ)
Rob,Cosmic Fuel Manager,ร็อบ,ผู้จัดการคอสมิกฟิล
Flubber,Cat???,ฟลับเบอร์,แมว???
Calder,Frugal R&B Enthusiast,คาลเดอร์,แฟนเพลง R&B จอมมัธยัสถ์
Zerua,Entry-level Clouditech,เซรัว,เมฆาปนิกระดับแรกเริ่ม
8008,Arinator Stan,8008,แฟนคลับแอริเนเตอร์ตัวยง
Crust,Apocalyptic Junkie,ครัสต์,ผู้จดจ่อเฝ้ารอวันสุริยาวินาศ
Romulus,Sharp-Eyed Brother,โรมูลุส,แฝดพี่ตาเหยี่ยว
Remus,Dimwitted Brother,เรมุส,แฝดน้องจอมทึ่ม
K'Kili the Destroyer,Ex-Con Turned Housewife,คคิลิ จอมทำลายล้าง,แม่บ้านอดีตนักโทษ
Aiyana,The Last One Standing,ไอยาน่า,ผู้ยืนหยัดเป็นคนสุดท้าย
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
