location,context,source,target
SAJ1,I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?),Space Alpaca Jerky,เนื้ออัลปากาอวกาศแดดเดียว
SAJ2,I just wanted to make a weird food. I kind of just imagined weird blue alpacas with something unsettling about them in some way. (Maybe they destroy planets? Who knows?),Don’t read the warning label. It’ll taste better.,ถ้าอยากกินให้อร่อย อย่าอ่านคำเตือนบนฉลาก
DDS1,"I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!",Deia Deia Soda,น้ำอัดลมเดอา เดอา
DDS2,"I’m (Britney) Haitian-American, and I hate American sodas with a passion. Mainly wrote this flavor text since I will always run to grab a Caribbean soda any chance I get. So this was born from that thought pattern!",Andromeda soda brands always taste WAYYY better compared to Milkyway brands.,น้ำอัดลมจากแอนโดรเมดาอร่อยกว่าของทางช้างเผือกเยอะเลย
AP1,"I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.",Arinator Paste (Mint Choco Flavor),ยาสีฟันแอริเนเตอร์ (กลิ่นช็อกมินต์)
AP2,"I noticed lots of people hate the mint chocolate flavor pairing. Thought I’d poke fun at that! On top of that, I thought this would be fun to make references to really weird celebrity product collabs. Mint chocolate toothpaste felt weird enough.",The mint choco lovers never should have evolved with us…,พวกคนรักช็อกมินต์ไม่น่าวิวัฒนาการมาพร้อมกับเราเลย...
MGN1,Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!,M’Ghooni Nachos,มกูนี่ นาโช่
MGN2,Nachos feel like such a late-night staple for me and some friends back in college. I imagine Cosmic Fuel’s nachos are just good enough to pass as something someone would like to eat on the go!,Perfect for the night time munchies no matter which planet you’re on!,ของว่างยามค่ำคืนที่ดีที่สุดสำหรับทุกที่ทุกดวงดาว!
SD1,Weird hot dogs!!!! They’re a weird color!!!,Saturn Dogs,ซาเทิร์นดอก
SD2,Weird hot dogs!!!! They’re a weird color!!!,"One of the most iconic ways to eat a hot dog in the solar system. Soon, iconic nowhere!",ฮอทดอกที่แค่หยิบมากินก็ดูดีมีสไตล์ที่สุดแล้วในระบบสุริยะจักรวาล และในอีกไม่นานก็จะดูดีมีสไตล์ที่สุดในหลุมดำ!
ZC1,Silly numbers!,Zolkan Coffee,กาแฟโซลคาน
ZC2,Silly numbers!,Made with 500% Zolkan coffee beans! How'd they figure out the 400%?,ทำจากเมล็ดกาแฟโซลคาน 500%! แต่รู้ได้ไงว่าเท่าไรคือ 400%
MM1,Main Menu,Start,เริ่ม
MM2,Main Menu,Options,ตั้งค่า
MM3,Main Menu,Exit,ออก
OPT1,Options Menu,Sound Options,ตั้งค่าเสียง
OPT2,Options Menu,Background Music Volume,เสียงดนตรีพื้นหลัง
OPT3,Options Menu,Character Speech Volume,เสียงพูดตัวละคร
OPT4,Options Menu,Sound Effects Volume,เสียงเอฟเฟกต์
OPT5,Options Menu,Cancel,ยกเลิก
OPT6,Options Menu,Save,บันทึก
NUM,"This is the values for the slider bar, for localizing numbers. We need all the numbers between 0 and 100",0,0
PM1,Pause Menu,Game Paused,หยุดเกม
PM2,Pause Menu,Save,บันทึก
PM3,Pause Menu,Load,โหลด
PM4,Pause Menu,Options,ตั้งค่า
PM5,Pause Menu,Quit,ออก
NAV1,phone and narrative navigation,now,ตอนนี้
NAV2,phone and narrative navigation,back,กลับไป
NAV3,phone and narrative navigation,next,ถัดไป
CS1,Credit Screen,Credits,เครดิต
CS2,Credit Screen,writer,เขียนโดย
CS3,Credit Screen,Character Designer/Artist,ออกแบบ/วาดตัวละครโดย
CS4,Credit Screen,Background and Item Artist,พื้นหลัง/สิ่งของโดย
CS5,Credit Screen,Composer/Sound Designer,เสียง/เพลงโดย
CS6,Credit Screen,Additional Voice-Over,เสียงพากย์เพิ่มเติม
CS7,Credit Screen,UX/UI Designer,ออกแบบ UX/UI
CS8,Credit Screen,Programmer,โปรแกรมเมอร์
S1,In the shop,Turn Around,หันหลัง
S2,In the shop,Alpaca Jerky,อัลปากาแดดเดียว
S3,In the shop,Deia Deia,เดอา เดอา
S4,In the shop,Arinator,แอริเนเตอร์
S5,In the shop,Food,อาหาร
IGD1,Itch Game Description,Supernova is a hybrid between a point-and-click and a visual novel with inspiration from games like Coffee Talk.  ,Supernova เป็นเกม Point-and-Click และ Visual Novel ที่ได้รับแรงบันดาลใจจากเกมอย่าง Coffee Talk  
IGD2,Itch Game Description,"You are playing as Dmi, a gas station employee on Mars’ moon. ",คุณจะได้เล่นเป็นดมิ พนักงานปั๊มน้ำมันบนดวงจันทร์ของดาวอังคาร 
IGD3,Itch Game Description,"The solar system is reaching its end, and a supernova will wipe out everything in three days.",จุดจบของระบบสุริยะใกล้มาถึงแล้ว และซูเปอร์โนวาจะกวาดล้างทุกอย่างในอีก 3 วัน
IGD4,Itch Game Description,You’re clocking in. ,คุณตอกบัตรเข้างาน 
