character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,Cassiopeia,A Única que Importa
Dmi,Dead Inside Employee (You),Dmi,Atendente que Morreu por Dentro (você)
Rob,Cosmic Fuel Manager,Rob,Gerente da Astrobrás
Flubber,Cat???,Flubber,Gata???
Calder,Frugal R&B Enthusiast,Calder,Entusiasta Modesto de R&B
Zerua,Entry-level Clouditech,Zerua,Nuvitecta Júnior
8008,Arinator Stan,8008,Fã Fervoroso da Arinator
Crust,Apocalyptic Junkie,Crust,Fanático pelo Apocalipse
Romulus,Sharp-Eyed Brother,Rômulo,Irmão Espertão
Remus,Dimwitted Brother,Remo,Irmão Bobão
K'Kili the Destroyer,Ex-Con Turned Housewife,"K'Kili, a Destruidora","Ex-Detenta, Agora Esposa"
Aiyana,The Last One Standing,Aiyana,A Última Pessoa que Permaneceu
