location,context,source,target
O1,"No Sc, msc: SupernovaAlt, no sfx, Next: [O2]",The Solar System. We all know it well. Home to an indescribable number of lifeforms across each planet.,ระบบสุริยะ เราทุกคนรู้จักมันดี\nมันเป็นบ้านของสิ่งมีชีวิตมากมายนับไม่ถ้วนที่อาศัยอยู่ในดาวเคราะห์ต่าง ๆ
O2,"No Sc, msc: SupernovaAlt, no sfx, Next: [O3]",That doesn’t matter much anymore. The Solar System is reaching its end and our Sun is reaching the end of its days. From Mercury to Uranus (Justice for Pluto) people are evacuating to escape the incoming supernova.,แต่นั่นมันไม่สำคัญอีกต่อไปแล้ว\nจุดจบของระบบสุริยะกำลังจะมาถึงเพราะดวงอาทิตย์ของเราก็ใกล้จะสิ้นอายุขัยแล้ว\nผู้คนตั้งแต่ดาวพุธไปจนถึงดาวยูเรนัส (รวมถึงดาวเคราะห์แคระอย่างดาวพลูโตด้วย)\nต่างก็พากันอพยพหนีซูเปอร์โนวาที่กำลังจะเกิดขึ้นในอีกไม่นาน
O3,"No Sc, msc: SupernovaAlt, no sfx, Next: [O4]",and I’m clocking in.,ส่วนฉันก็มาทำงาน
O4,"No Sc, msc: SupernovaAlt, no sfx, Next: [O5a]","It's a slow day. Not that it wasn’t expected or anything. A lot of people have evacuated already, or they just want to spend their money elsewhere besides our dingy gas station. ",มันเป็นวันสบาย ๆ วันนึง คือก็รู้อยู่แล้วแหละว่ามันจะเป็นแบบนี้\nคนส่วนใหญ่คงอพยพกันไปหมดแล้ว\nหรือไม่ก็คงอยากจะเอาเงินไปใช้ที่อื่นที่ไม่ใช่ปั๊มน้ำมันซอมซ่อของเรา 
O5a,"No Sc, msc: SupernovaAlt, sfx: Text_1, Next: [O5b]",-phone chimes-,-มือถือดัง-
O5b,"No Sc, msc: SupernovaAlt, sfx: , Next: [T1]",Crap.,แย่ละ
T1,"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","Hey, did you finish packing?",นี่ เก็บของเสร็จรึยัง?
T1-Option-1,"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]",Yeah. (Lie),เสร็จแล้ว (โกหก)
T1-Option-2,"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [TDN1-1,TDP1-1]","No, I’m at work right now.",ยังเลย ตอนนี้ทำงานอยู่
TDN1-1,"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDN1-2]",Yeah. Just handling some things right now.,เสร็จแล้ว ตอนนี้แค่กำลังจัดการกับอะไรบางอย่างอยู่
TDN1-2,"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDN1-3]",Are you home? I can swing by your place to help.,อยู่บ้านรึเปล่า? ชั้นแวะไปช่วยเทอที่บ้านได้นะ
TDN1-3,"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [ROD1-1]","No, its fine. I’m at work. The grind doesn’t stop.",ไม่เป็นไรอะ ฉันทำงานอยู่ มีงานต้องทำเยอะเลย
