character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,Кассіопея,"Єдина, хто має значення"
Dmi,Dead Inside Employee (You),Дмі,Мертві в душі роботяга (Ти)
Rob,Cosmic Fuel Manager,Роб,Менеджер «Космопалива»
Flubber,Cat???,Ляпка,Киця???
Calder,Frugal R&B Enthusiast,Колдер,Ощадлива прихильниця ритм-енд-блюзу
Zerua,Entry-level Clouditech,Зеруа,Хмаротектори-початківці
8008,Arinator Stan,1515,Суперфан Арінатор
Crust,Apocalyptic Junkie,Корі,Апокаліптичний фанатик
Romulus,Sharp-Eyed Brother,Ромул,Гостроокий брат
Remus,Dimwitted Brother,Ремус,Дурнуватий брат
K'Kili the Destroyer,Ex-Con Turned Housewife,К’Кілі-нищителька,"Екс-шахрайка, нині домогосподарка"
Aiyana,The Last One Standing,Аяна,"Останні, хто лишились"
