character name,title,translated name,translated title
Cassiopeia,The Only One Who Matters,Tiên Hậu,Người bạn tri kỷ
Dmi,Dead Inside Employee (You),Diễm Mi,Tâm hồn lạc lối (Bạn)
Rob,Cosmic Fuel Manager,Rob,Quản lý trạm xăng
Flubber,Cat???,Múp Míp,Mồn lèo???
Calder,Frugal R&B Enthusiast,Calder,Tín đồ R&B thích săn sale
Zerua,Entry-level Clouditech,Zerua,Kỹ sư thời tiết tập sự
8008,Arinator Stan,8008,Fan cuồng Arinator
Crust,Apocalyptic Junkie,Thạch Tượng,Kẻ cuồng tận thế
Romulus,Sharp-Eyed Brother,Ròm,Sói ngầu
Remus,Dimwitted Brother,Rem,Sói ngơ
K'Kili the Destroyer,Ex-Con Turned Housewife,K’Kili Kẻ Hủy Diệt,Chị đại hoàn lương
Aiyana,The Last One Standing,Aiyana,Người trụ lại sau cùng
