Language,File Type,Date
Czech,Character Names,2026-06-30
Czech,Menu,2026-06-30
Czech,Script,2026-06-30
Greek,Character Names,2026-06-22
Greek,Menu,2026-06-22
Greek,Script,2026-06-22
Spanish (Latin America),Character Names,2026-04-04
Spanish (Latin America),Menu,2026-04-04
Spanish (Latin America),Script,2026-04-04
French,Character Names,2026-03-19
French,Menu,2026-03-19
French,Script,2026-03-19
Hungarian,Character Names,25-10-23
Hungarian,Menu,25-10-23
Hungarian,Script,25-10-23
Indonesian,Character Names,2026-06-30
Indonesian,Menu,2026-06-30
Indonesian,Script,2026-06-30
Japanese,Character Names,2026-06-15
Japanese,Menu,2026-06-15
Japanese,Script,2026-06-15
Korean,Character Names,25-12-12
Korean,Menu,25-12-12
Korean,Script,25-12-12
Portuguese (Brazil),Character Names,2026-04-06
Portuguese (Brazil),Menu,2026-06-12
Portuguese (Brazil),Script,2026-06-12
Romanian,Character Names,2026-01-06
Romanian,Menu,2026-03-12
Romanian,Script,2026-03-12
Thai,Character Names,2026-06-22
Thai,Menu,2026-06-22
Thai,Script,2026-06-22
Ukrainian,Character Names,25-09-15
Ukrainian,Menu,2026-06-23
Ukrainian,Script,2026-06-23
Vietnamese,Character Names,2026-05-06
Vietnamese,Menu,2026-05-06
Vietnamese,Script,2026-05-06
