Date,Language,ID,Build,Issue,Severity,Issue Description,Screenshot,Question,Answer,Status,,,
16/01/26,French,N/A,0.4.3,Display,Minor,"Some sound descriptions appear in italics, while others are in plain text (like the provided screenshot).","https://snipboard.io/TGBeyf.jpg (in this example, the ID is TDP2-5a)","Would it be possible to make it so every sound described in the game appears in italics for consistency? There aren't tags in OmegaT's files, so we can't edit the text's format ourselves. Thank you in advance!","Not with how this is implemented. This was a issue we were trying to fix in this game, but we didn't have a good solution at this time. ",Cannot fix,,,
16/01/26,French,TPOP-1,0.4.3,Untranslated,Major,"""SUPERNOVA IMMINENT. EVACUATE IMMEDIATELY."" Untranslated in-game (but translated in OmegaT's .po file)",https://snipboard.io/2LelO9.jpg,,"Need to check if there is an updated file, as I dont see it translated in my local files. ",Confirmed fixed,Confirmed fixed for JA.,,
"16/01/26
02/07/26",Multiple,N/A,0.4.3,Untranslated,Major,"!!! DEIMOS MOON WARNING !!!' missing in OmegaT's .po file, thus not translated.",https://snipboard.io/2LelO9.jpg,"It seems this specific line wasn't implemented in the .po file, so this issue will probably occur for other language pairs!",next build for HU (written July 3rd),Pending,"Issue still present in Japanese as of June 12th.
https://prnt.sc/D3WX5fcYiAVi ",Confirmed fixed for FR (July 2nd),Issue still present in Hungarian as of July 2nd: snipboard.io/bnuzZN.jpg  
16/01/26,Multiple,D2D-45,0.4.3,Other,Major,"Continuity issue with K'Kili's last scene (""The woman offers me a smile and walks out of the Cosmic Fuel with nachos in hand."")",,"Hello! The French team noticed a continuity issue in the source text: K'Kili will leave with the ""nachos in hand"" even if the player chose the wrong article! This will affect all language pairs, so we could either edit the original sentence (for example, just saying ""The woman offers me a smile and walks out of the Cosmic Fuel."") or you'll need to implement an extra line in case the player would suggest the wrong item to K'Kili.
 
Thanks for your help!",,Cannot fix,,,
16/01/26,French,"DAY 1:
TDN3-4 // DD1-14 // TDN4-2 // DD1-22 // DD1-27 // TDN5-4 // TDP3-11

DAY 3: T19 // T21 // DD3-1 // DD3-2 // AD-2 // DD3-3 // AD-3 // AD-4 // DD3-4 // TDP10-2 // TDP10-4 // TDP10-4a // TDP10-5 // TDP10-6 // TDP10-8 // TDP10-9 // TDP10-12 // TDP10-15 // TDP10-17 // TDP10-18 // PON-3 // POP-5 // POP-6 // POP-8 // POP-9 // POP-17 // POP-22 // POP-29 // POP-30 // POP-31 // POP-33 // POP-36 // POP-40 // POP-44 // POP-49 // POP-50 // POP-57 // POP-67 // POP-69",0.4.3,Display,Minor,An extra space appears at the beginning of the line in-game (see screenshots); this space is not present in OmegaT's translated file and this issue occurs several times throughout the game.,"https://snipboard.io/3GiUf1.jpg
https://snipboard.io/V0lALg.jpg
https://snipboard.io/ynoKQk.jpg
https://snipboard.io/51aEvn.jpg
","We aren't sure what's causing this small display issue, as it only seems to affect some lines (although we noticed it especially occurs during DAY 3).","There is actually a space in the current files.. Its also in the english version. I can make sure the lines get trimmed of extra whitespace, and that should fix this. Should be fixed in the next build",Confirmed fixed,,,
16/01/26,French,N/A,0.4.3,Display,Minor,A space is missing between the character's name and their title (this issue occurs throughout the game),"https://snipboard.io/dnIMey.jpg
https://snipboard.io/IX3FBT.jpg",,Should be fixed in the next build,Confirmed fixed,,,
16/01/26,French,"PON-12
POP-71",0.4.3,Display,Minor,"When the screen goes white with the last quotes, if you try to go back to the previous lines, the white screen remains.",https://snipboard.io/5rSCV1.jpg,"Not sure if this is done in purpose, but we figured it'd still be worth mentionning in case players would want to go back after reaching the last lines of the game.",Should be fixed in the next build,Confirmed fixed,,,
16/01/26,French,T17-Option-2,0.4.3,Display,Major,"When we choose this specific answer, the choices remain and we can't see Dmi's answer. If we keep clicking on the same choice, we can see Cass' answers, but then the phone and dialogue box overlap on the screen (see provided screenshots).","https://snipboard.io/otuJYh.jpg
https://snipboard.io/9Md3xo.jpg
https://snipboard.io/bB154P.jpg
https://snipboard.io/v81fzj.jpg",This is the only answer option where this issue occurs; we're not quite sure what's causing this. :c,Should be fixed in the next build,Confirmed fixed,,,
22/01/26,Romanian,N/A,0.4.2,Untranslated,Major,"""now"" and from ""How do you want to respond?"" downwards the text is in English. ",https://snipboard.io/aj5nO1.jpg,,"Should be fixed
",Confirmed fixed,,,
22/01/26,Romanian,N/A,0.4.2,Other,Major,"Last sentence should be changed into ""Nu vrei s-o vezi?""",https://snipboard.io/VyzA8M.jpg,,Should be fixed,Confirmed fixed,,,
